Team ID,College Name
1010,Sastra University
1025,Cluster Innovation Centre
1026,Cluster Innovation Centre
1067,Terna Engineering College
1072,BMS College of Engineering
1076,U. V. Patel Engineering College
1078,"Institute of Engineering and Technology, Indore"
1108,Manipal Institute of Technology
1115,JSS Science and Technology University (Formerly known as SJCE)
1125,Alva's Institute of Engineering & Technology
1134,"Indian Institute of Technology, Mandi"
1140,Jamia Millia Islamia
1160,"Government Engineering College, Barton Hill"
1180,Sastra University
1195,"Government Engineering College, Barton Hill"
1211,"IIT (ISM), Dhanbad"
1212,"Madras Institute of Technology Campus, Anna University"
1223,"Bharati Vidyapeeth's College of Engineering, New Delhi"
1225,KLS Gogte Institute of Technology
1226,PES University
1232,Bangalore Institute of Technology
1234,Manipal Institute of Technology
1249,Veer Surendra Sai University of Technology
1252,"Indian Institute of Technology, Mandi"
1253,BMS College of Engineering
1254,Alva's Institute of Engineering & Technology
1263,"Fr. Conceicao Rodrigues Institute of Technology, Vashi"
1268,St. Vincent Pallotti College of Engineering and Technology
1270,Sant Longowal Institute of Engineering and Technology
1281,Veer Surendra Sai University of Technology
1286,Veer Surendra Sai University of Technology
1289,Pandit Deendayal Petroleum University
1299,Sant Longowal Institute of Engineering and Technology
1301,Sastra University
1303,Sant Longowal Institute of Engineering and Technology
1306,Ajay Kumar Garg Engineering College
1312,PES University
1329,"Anna University, Chennai"
1331,Sinhgad College of Engineering (SCOE)
1333,Ramrao Adik Institute of Technology
1342,"Anna University, Chennai"
1351,Sant Longowal Institute of Engineering and Technology
1354,"Anna University, Chennai"
1357,"Madras Institute of Technology Campus, Anna University"
1359,"Anna University, Chennai"
1363,Symbiosis Skills and Open University
1366,Indian Institute of Technology Kharagpur
1374,Mepco Schlenk Engineering College
1387,"IIT (ISM), Dhanbad"
1398,"Anna University, Chennai"
1401,SRM Engineering College
1412,Jain college of Engineering
1423,"Miranda House, University College For Women"
1424,Jamia Millia Islamia
1426,Sant Longowal Institute of Engineering and Technology
1436,Sinhgad College of Engineering (SCOE)
1437,St. Vincent Pallotti College of Engineering and Technology
1441,"Indian Institute of Technology, Tirupati"
1442,Sastra University
1451,Sant Longowal Institute of Engineering and Technology
1462,G.H. Patel College of Engineering & Technology
1473,"Indian Institute of Information Technology, Bhagalpur"
1478,T.K.M. College of Engineering
1480,G.H. Patel College of Engineering & Technology
1481,JSS Academy of Technical Education
1483,"Indian Institute of Technology, Bombay"
1489,"National Institute of Technology,Warangal"
1504,Jain college of Engineering
1506,Sri Sairam Institute Of Technology
1507,Manipal Institute of Technology
1512,"Institute of Engineering and Technology, Lucknow"
1515,PES University
1518,"Institute of Engineering and Technology, Lucknow"
1535,Sastra University
1542,"National Institute of Technology,Tiruchirappalli"
1543,Shri Guru Gobind Singhji Institute of Engineering and Technology
1554,Harcourt Butler Technical University
1565,Manipal Institute of Technology
1578,Jain college of Engineering
1584,"Deenbandhu Chhotu Ram University of Science and Technology, Murthal"
1600,PES University
1606,Gayatri Vidya Parishad College of Engineering (Autonomous)
1619,"Institute of Engineering and Technology, Lucknow"
1630,"BITS Pilani, Hyderabad Campus"
1645,Sinhgad College of Engineering (SCOE)
1646,Jamia Millia Islamia
1661,"Institute of Engineering and Technology, Lucknow"
1663,T.K.M. College of Engineering
1697,MBM Engineering College
1707,K. J. Somaiya College of Engineering
1711,Dhirajlal Gandhi College of Technology
1717,G.H. Patel College of Engineering & Technology
1718,"Birla Institute of Technology, Mesra"
1726,"Institute of Engineering and Technology, Lucknow"
1727,Alva's Institute of Engineering & Technology
1729,Dr.N.G.P. Institute of Technology
1731,Jayaraj Annapackiam CSI College of Engineering
1740,Atharva College of Engineering
1756,University of Moratuwa
1759,Jamia Millia Islamia
1766,Indian Institute Of Space Science and Technology
1767,Sastra University
1768,Sri Sairam Institute Of Technology
1769,Jayaraj Annapackiam CSI College of Engineering
1794,"Government College Of Technology, Coimbatore"
1796,Cluster Innovation Centre
1801,Sri Sairam Institute Of Technology
1809,University of Moratuwa
1812,Manipal Institute of Technology
1814,Pimpri Chinchwad Education Trust's Pimpri Chinchwad College of Engineering
1815,Chandigarh University
1816,Sri Sairam Engineering College
1819,Sastra University
1826,"Motilal Nehru National Institute of Technology, Allahabad"
1830,Theni Kammavar Sangam College of Technology
1832,Rajalakshmi Engineering College
1836,"Indraprastha Institute of Information Technology, Delhi"
1843,Vellore Institute of Technology
1865,Sri Sairam Institute Of Technology
1867,Sri Sairam Institute Of Technology
1868,"United College of Engineering and Research, Allahabad"
1883,Sri Sairam Institute Of Technology
1889,"Government Engineering College, Modasa"
1895,Sri Vasavi Institute of Engineering and Technology
1905,Sri Sairam Institute Of Technology
1906,Jain college of Engineering
1912,"D Y Patil College of Engineering, Akurdi"
1915,"Indian Institute of Technology, Bombay"
1924,"S. B. Jain Institute of Technology,Management & Research"
1925,MBM Engineering College
1927,Sri Ramakrishna Engineering College
